,bio_source,fold,nan_r2,masked_mse_loss,total_time(sec)
524,bio_source_RD-CCL-136,7,0.4269793790665007,0.2305897566744106,7.662816286087036
525,bio_source_RD-CCL-136,8,0.442615825224131,0.2250957344923064,7.650763750076294
526,bio_source_RD-CCL-136,9,0.4621825952438608,0.2104022712367504,7.618553400039673
527,bio_source_RD-CCL-136,mean,0.4577119513650804,0.2163528044647934,7.662747001647949
528,bio_source_RPE-1,0,0.447986479615636,0.3203827075381126,7.773590087890625
529,bio_source_RPE-1,1,0.4794393368371722,0.3131831394663227,7.64129114151001
530,bio_source_RPE-1,2,0.4577139748282021,0.3188989709651775,7.65501856803894
531,bio_source_RPE-1,3,0.5065750693512934,0.2929610713739887,7.727205514907837
532,bio_source_RPE-1,4,0.5107758912102471,0.2882529907340553,7.696874380111694
533,bio_source_RPE-1,5,0.466220233750268,0.297717864248738,7.703199148178101
534,bio_source_RPE-1,6,0.4966203629558813,0.3167565259347311,7.720015287399292
535,bio_source_RPE-1,7,0.4746179652640043,0.3040974287517615,7.830986499786377
536,bio_source_RPE-1,8,0.4551471543193179,0.3149676445517191,7.6723480224609375
537,bio_source_RPE-1,9,0.4798331324875337,0.2985159602804865,7.673658847808838
538,bio_source_RPE-1,mean,0.4774929600619557,0.3065734303845093,7.709418749809265
539,bio_source_SH-SY5Y,0,0.4129071655767484,0.4533775913308938,7.679064989089966
540,bio_source_SH-SY5Y,1,0.4105740949323094,0.4658371432183087,7.743385314941406
541,bio_source_SH-SY5Y,2,0.4123359737859025,0.505841001968208,7.646824836730957
542,bio_source_SH-SY5Y,3,0.4045826677531903,0.4735193039533024,7.648424863815308
543,bio_source_SH-SY5Y,4,0.4311142103784875,0.4368822927552853,7.645951509475708
544,bio_source_SH-SY5Y,5,0.4077294298894174,0.4583966377442775,7.754005193710327
545,bio_source_SH-SY5Y,6,0.4158146153265508,0.4683072385190832,7.665546417236328
546,bio_source_SH-SY5Y,7,0.3880592086383817,0.4725135736916401,7.642251253128052
547,bio_source_SH-SY5Y,8,0.3719020656128364,0.4655336718454854,7.667654275894165
548,bio_source_SH-SY5Y,9,0.4078591778731019,0.4480103536430616,7.753065586090088
549,bio_source_SH-SY5Y,mean,0.4062878609766926,0.4648218808669546,7.684617424011231
550,bio_source_SUM159PT,0,0.6800249459548192,0.3040605099819277,7.6628851890563965
551,bio_source_SUM159PT,1,0.677286282452828,0.3100933101409441,7.643840551376343
552,bio_source_SUM159PT,2,0.640076567820868,0.3472035921976619,7.675058841705322
553,bio_source_SUM159PT,3,0.6668650667206537,0.3248847881353917,7.740353107452393
554,bio_source_SUM159PT,4,0.6666060413875861,0.312894518303314,7.645349740982056
555,bio_source_SUM159PT,5,0.6795452630133166,0.2848342444344302,7.683134317398071
556,bio_source_SUM159PT,6,0.6679243478296186,0.3185615089897823,7.653595209121704
557,bio_source_SUM159PT,7,0.64200250798868,0.3500421382472624,7.720361948013306
558,bio_source_SUM159PT,8,0.6921543090226573,0.2807198894821837,7.664957523345947
559,bio_source_SUM159PT,9,0.6768074769782402,0.3136353731901439,7.652867555618286
560,bio_source_SUM159PT,mean,0.6689292809169268,0.3146929873103042,7.674240398406982
561,bio_source_SW480TetOnAPC,0,0.4824120839312145,0.3252074326382611,7.733790397644043
562,bio_source_SW480TetOnAPC,1,0.5018365536718725,0.3263474320299007,7.615002393722534
563,bio_source_SW480TetOnAPC,2,0.4852061152415108,0.3546337579129146,7.640060424804687
564,bio_source_SW480TetOnAPC,3,0.4840216969137685,0.3461093186648158,7.617992639541626
565,bio_source_SW480TetOnAPC,4,0.5286160841188404,0.3132405359369497,7.749171018600464
566,bio_source_SW480TetOnAPC,5,0.5369310264874152,0.3228878759221946,7.658282995223999
567,bio_source_SW480TetOnAPC,6,0.5005592501703383,0.3346261112463516,7.692242622375488
568,bio_source_SW480TetOnAPC,7,0.4704126188493606,0.3212427438000398,7.651963949203491
569,bio_source_SW480TetOnAPC,8,0.5119158636321571,0.3101818354606355,7.755849599838257
570,bio_source_SW480TetOnAPC,9,0.5196942474182085,0.3305394265924238,7.651808023452759
571,bio_source_SW480TetOnAPC,mean,0.5021605540434686,0.3285016470204487,7.6766164064407345
572,bio_source_T47D,0,0.6395972779433816,0.3249921181225896,7.640260457992554
573,bio_source_T47D,1,0.6650015617226555,0.3020607270426764,7.575252056121826
574,bio_source_T47D,2,0.6374177982671096,0.3262450163420441,7.666825532913208
575,bio_source_T47D,3,0.6674317837753514,0.2992393572235862,7.572020292282104
